ClusterId: 106 (101 objects):
    1 (X: 19,35; Y: 31,65)
    3 (X: 20,9; Y: 3)
    3 (X: 20; Y: 2,9)
    3 (X: 19,1; Y: 3)
    3 (X: 18,2; Y: 3,2)
    3 (X: 17,3; Y: 3,25)
    3 (X: 16,55; Y: 3,5)
    3 (X: 15,7; Y: 3,7)
    3 (X: 14,85; Y: 4,1)
    3 (X: 14,15; Y: 4,4)
    3 (X: 13,4; Y: 4,75)
    3 (X: 12,7; Y: 5,2)
    3 (X: 12,05; Y: 5,65)
    3 (X: 11,45; Y: 6,15)
    3 (X: 10,9; Y: 6,65)
    3 (X: 10,3; Y: 7,25)
    3 (X: 9,7; Y: 7,85)
    3 (X: 9,35; Y: 8,35)
    3 (X: 8,9; Y: 9,05)
    3 (X: 8,55; Y: 9,65)
    3 (X: 8,15; Y: 10,35)
    3 (X: 7,95; Y: 10,95)
    3 (X: 7,75; Y: 11,7)
    3 (X: 7,55; Y: 12,35)
    3 (X: 7,45; Y: 13)
    3 (X: 7,35; Y: 13,75)
    3 (X: 7,3; Y: 14,35)
    3 (X: 7,35; Y: 14,95)
    3 (X: 7,35; Y: 15,75)
    3 (X: 7,55; Y: 16,35)
    3 (X: 7,7; Y: 16,95)
    3 (X: 7,8; Y: 17,55)
    3 (X: 8,05; Y: 18,15)
    3 (X: 8,3; Y: 18,75)
    3 (X: 8,65; Y: 19,3)
    3 (X: 8,9; Y: 19,85)
    3 (X: 9,3; Y: 20,3)
    3 (X: 9,65; Y: 20,8)
    3 (X: 10,2; Y: 21,25)
    3 (X: 10,6; Y: 21,65)
    3 (X: 11,1; Y: 22,15)
    3 (X: 11,55; Y: 22,45)
    3 (X: 11,95; Y: 22,7)
    3 (X: 12,55; Y: 23)
    3 (X: 13,05; Y: 23,2)
    3 (X: 13,45; Y: 23,4)
    3 (X: 14; Y: 23,55)
    3 (X: 14,55; Y: 23,6)
    3 (X: 15,1; Y: 23,75)
    3 (X: 15,7; Y: 23,75)
    3 (X: 16,15; Y: 23,85)
    3 (X: 16,7; Y: 23,8)
    3 (X: 17,15; Y: 23,75)
    3 (X: 17,75; Y: 23,75)
    3 (X: 18,2; Y: 23,6)
    3 (X: 18,65; Y: 23,5)
    3 (X: 19,1; Y: 23,35)
    3 (X: 19,6; Y: 23,15)
    3 (X: 20; Y: 22,95)
    3 (X: 20,4; Y: 22,7)
    3 (X: 20,7; Y: 22,55)
    3 (X: 21; Y: 22,15)
    3 (X: 21,45; Y: 21,95)
    3 (X: 21,75; Y: 21,55)
    3 (X: 22; Y: 21,25)
    3 (X: 22,25; Y: 21)
    3 (X: 22,5; Y: 20,7)
    3 (X: 22,65; Y: 20,35)
    3 (X: 22,75; Y: 20,05)
    3 (X: 22,9; Y: 19,65)
    3 (X: 23; Y: 19,35)
    3 (X: 23,1; Y: 19)
    3 (X: 23,15; Y: 18,65)
    3 (X: 23,2; Y: 18,25)
    3 (X: 23,2; Y: 18,05)
    3 (X: 23,2; Y: 17,8)
    3 (X: 23,1; Y: 17,45)
    3 (X: 23,05; Y: 17,15)
    3 (X: 22,9; Y: 16,9)
    3 (X: 22,85; Y: 16,6)
    3 (X: 22,7; Y: 16,4)
    3 (X: 22,6; Y: 16,2)
    3 (X: 22,55; Y: 16,05)
    3 (X: 22,4; Y: 15,95)
    3 (X: 22,35; Y: 15,8)
    3 (X: 22,2; Y: 15,65)
    3 (X: 22,15; Y: 15,55)
    3 (X: 22; Y: 15,4)
    3 (X: 21,9; Y: 15,3)
    3 (X: 21,85; Y: 15,25)
    3 (X: 21,75; Y: 15,15)
    3 (X: 21,65; Y: 15,05)
    3 (X: 21,55; Y: 15)
    3 (X: 21,5; Y: 14,9)

ClusterId: 207 (105 objects):
    2 (X: 3,9; Y: 9,6)
    2 (X: 3,55; Y: 10,65)
    2 (X: 3,35; Y: 11,4)
    2 (X: 3,1; Y: 12,35)
    2 (X: 3,1; Y: 13,25)
    2 (X: 3,05; Y: 14,15)
    2 (X: 3; Y: 15,1)
    2 (X: 3,1; Y: 16)
    2 (X: 3,2; Y: 16,85)
    2 (X: 3,45; Y: 17,75)
    2 (X: 3,7; Y: 18,7)
    2 (X: 3,95; Y: 19,55)
    2 (X: 4,35; Y: 20,25)
    2 (X: 4,7; Y: 21,1)
    2 (X: 5,15; Y: 21,8)
    2 (X: 5,6; Y: 22,5)
    2 (X: 6,2; Y: 23,3)
    2 (X: 6,8; Y: 23,85)
    2 (X: 7,35; Y: 24,45)
    2 (X: 8,05; Y: 24,95)
    2 (X: 8,8; Y: 25,45)
    2 (X: 9,5; Y: 26)
    2 (X: 10,2; Y: 26,35)
    2 (X: 10,9; Y: 26,75)
    2 (X: 11,7; Y: 27)
    2 (X: 12,45; Y: 27,25)
    2 (X: 13,3; Y: 27,6)
    2 (X: 14,05; Y: 27,6)
    2 (X: 14,7; Y: 27,75)
    2 (X: 15,55; Y: 27,75)
    2 (X: 16,4; Y: 27,75)
    2 (X: 17,1; Y: 27,75)
    2 (X: 17,9; Y: 27,75)
    2 (X: 18,55; Y: 27,7)
    2 (X: 19,35; Y: 27,6)
    2 (X: 20,1; Y: 27,35)
    2 (X: 20,7; Y: 27,1)
    2 (X: 21,45; Y: 26,8)
    2 (X: 22,05; Y: 26,5)
    2 (X: 22,7; Y: 26,15)
    2 (X: 23,35; Y: 25,65)
    2 (X: 23,8; Y: 25,3)
    2 (X: 24,3; Y: 24,85)
    2 (X: 24,75; Y: 24,35)
    2 (X: 25,25; Y: 23,95)
    2 (X: 25,65; Y: 23,45)
    2 (X: 26,05; Y: 23)
    2 (X: 26,2; Y: 22,3)
    2 (X: 26,6; Y: 21,8)
    2 (X: 26,75; Y: 21,25)
    2 (X: 27; Y: 20,7)
    2 (X: 27,15; Y: 20,15)
    2 (X: 27,15; Y: 19,6)
    2 (X: 27,35; Y: 19,1)
    2 (X: 27,35; Y: 18,45)
    2 (X: 27,4; Y: 18)
    2 (X: 27,3; Y: 17,4)
    2 (X: 27,15; Y: 16,9)
    2 (X: 27; Y: 16,4)
    2 (X: 27; Y: 15,9)
    2 (X: 26,75; Y: 15,35)
    2 (X: 26,55; Y: 14,85)
    2 (X: 26,3; Y: 14,45)
    2 (X: 25,95; Y: 14,1)
    2 (X: 25,75; Y: 13,7)
    2 (X: 25,35; Y: 13,3)
    2 (X: 25,05; Y: 12,95)
    2 (X: 24,8; Y: 12,7)
    2 (X: 24,4; Y: 12,45)
    2 (X: 24,05; Y: 12,2)
    2 (X: 23,55; Y: 11,85)
    2 (X: 23,2; Y: 11,65)
    2 (X: 22,75; Y: 11,4)
    2 (X: 22,3; Y: 11,3)
    2 (X: 21,9; Y: 11,1)
    2 (X: 21,45; Y: 11,05)
    2 (X: 21,1; Y: 11)
    2 (X: 20,7; Y: 10,95)
    2 (X: 20,35; Y: 10,95)
    2 (X: 19,95; Y: 11)
    2 (X: 19,55; Y: 11)
    2 (X: 19,15; Y: 11,05)
    2 (X: 18,85; Y: 11,1)
    2 (X: 18,45; Y: 11,25)
    2 (X: 18,15; Y: 11,35)
    2 (X: 17,85; Y: 11,5)
    2 (X: 17,5; Y: 11,7)
    2 (X: 17,2; Y: 11,95)
    2 (X: 17; Y: 12,05)
    2 (X: 16,75; Y: 12,2)
    2 (X: 16,65; Y: 12,35)
    2 (X: 16,5; Y: 12,5)
    2 (X: 16,35; Y: 12,7)
    2 (X: 16,2; Y: 12,8)
    2 (X: 16,15; Y: 12,95)
    2 (X: 16; Y: 13,1)
    2 (X: 15,95; Y: 13,25)
    2 (X: 15,9; Y: 13,4)
    2 (X: 15,8; Y: 13,5)
    2 (X: 15,8; Y: 13,65)
    2 (X: 15,75; Y: 13,85)
    2 (X: 15,65; Y: 14,05)
    2 (X: 15,65; Y: 14,25)
    2 (X: 15,65; Y: 14,5)
    2 (X: 15,65; Y: 14,6)

